Names,mpop,fpop,memp,femp,mmurder,mman,mforcerape,mrob,magassualt,mburglary,mlartheft,mmotortheft,marson,motherassualts,mforge,mfraud,membezzle,mstolenproperty,mvandalism,mweaponcarry,mprositute,msexoffense,mdrugabuse,msalemanufacture,mpossession,mgambling,mfamilyoffense,mDUI,mliquiorlaws,mdurnk,mdisorderconduct,mvangrancy,malloffense,msuspicion,mcurfewloiter,mrunaway,mviolentcrime,mpropertycrimeindex,fmurder,fman,fforcerape,frob,fagassualt,fburglary,flartheft,fmotortheft,farson,fotherassualts,fforge,ffraud,fembezzle,fstolenproperty,fvandalism,fweaponcarry,fprositute,fsexoffense,fdrugabuse,fsalemanufacture,fpossession,fgambling,ffamilyoffense,fDUI,fliquiorlaws,fdurnk,fdisorderconduct,fvangrancy,falloffense,fsuspicion,fbreakcurfew,frunaway,fviolentcrime,fpropertycrimeindex
San Francisco ,408462,396773,1793,321,24,2,19,338,1107,432,536,130,20,943,46,50,3,156,258,77,168,80,1275,649,630,2,-1,392,59,1524,60,95,6103,-1,-1,-1,1488,1118,1,1,0,63,277,136,298,35,3,281,15,14,3,33,49,5,113,5,289,163,126,0,-1,115,15,347,21,21,1303,-1,-1,-1,341,472
Northampton,12312,16237,56,8,-1,-1,-1,5,27,7,44,0,-1,91,0,0,-1,3,9,1,-1,3,39,8,31,-1,-1,85,21,168,35,-1,264,-1,-1,-1,32,51,-1,-1,-1,0,11,1,14,1,-1,39,2,1,-1,1,4,0,-1,1,4,1,3,-1,-1,14,11,47,17,-1,74,-1,-1,-1,11,16
Baltimore,292249,328712,2072,383,73,-1,105,733,841,1309,1092,560,57,5156,91,23,-1,-1,417,961,154,118,15119,4423,10696,130,56,86,46,-1,967,64,12718,-1,153,-1,1752,3018,6,-1,0,114,289,230,447,85,18,1974,33,29,-1,-1,158,110,598,19,2292,479,1813,5,36,18,13,-1,400,3,2783,-1,20,-1,409,780
Bloomington,40161,43162,100,55,3,2,1,13,71,67,225,14,3,193,5,6,-1,33,46,7,-1,32,287,42,245,-1,7,145,221,418,23,-1,746,-1,10,-1,88,309,2,0,0,0,16,12,120,18,1,73,5,2,-1,3,7,1,-1,2,65,9,56,-1,14,61,97,52,12,-1,223,-1,9,-1,18,151
Detroit,337679,376098,2241,829,29,-1,45,498,1176,855,427,498,34,1711,40,89,1,187,190,1384,3,53,2719,589,2127,2,12,627,2,3,510,27,2331,-1,27,-1,1748,1814,4,-1,0,52,560,66,81,72,4,398,13,46,5,21,58,68,3,0,193,47,146,0,5,188,0,1,289,6,326,-1,9,-1,616,223
Philadelphia,719813,806193,4998,1666,242,12,318,2671,3313,1587,4522,844,63,3925,98,414,99,55,432,1338,285,502,15751,7542,8209,88,16,3863,492,299,3222,389,13100,-1,11710,-1,6544,7016,16,0,0,428,1494,182,2651,118,29,1083,28,209,80,12,90,187,970,15,2143,847,1296,16,34,828,126,43,1043,35,2367,-1,3069,-1,1938,2980
Chicago,1308072,1387526,10368,3097,285,12,373,2216,2666,2033,9111,2058,32,13105,95,145,1,7,2703,3750,478,517,31901,-1,-1,2449,93,3075,370,-1,9156,-1,12432,-1,-1,-1,5540,13234,26,3,0,181,584,104,3524,323,9,4009,57,40,0,6,568,170,1634,24,3197,-1,-1,17,125,515,28,-1,1017,-1,1574,-1,-1,-1,791,3960
Los Angeles,1889064,1903557,7584,1779,145,8,198,2016,6879,2087,4592,705,38,3348,470,292,43,601,1691,2251,1799,1145,9414,2295,7119,222,0,6447,3791,6,141,168,30499,-1,1283,-1,9238,7422,29,5,1,332,1771,432,3299,251,10,989,131,105,39,96,247,178,2480,109,2170,372,1798,20,4,1479,947,1,39,62,5159,-1,497,-1,2133,3992
Memphis,307019,339870,1646,386,59,5,101,672,1181,1339,2824,203,38,4592,195,243,39,132,417,925,498,140,5422,1668,3725,120,5,1008,1538,1300,3638,4,9964,-1,274,-1,2013,4404,5,1,2,59,458,105,2147,51,10,2238,98,101,36,35,158,73,401,9,749,252,491,2,3,229,231,248,1341,2,2706,-1,145,-1,524,2313
New York City,3883188,4291945,30031,6151,574,12,919,11231,15374,4628,15151,3177,141,23107,6938,18538,240,2358,7614,8658,3225,5287,100696,27000,73696,4861,35,4135,140927,-1,47057,3280,299713,-1,-1,-1,28098,23097,47,3,11,1223,4197,453,7644,313,29,6126,670,3758,193,298,1029,1169,5151,138,15748,4117,11631,724,28,243,16040,-1,10369,2895,32553,-1,-1,-1,5478,8439
Dallas,598962,598854,2573,527,7,10,92,337,922,669,2562,212,1,3592,228,118,1,16,181,761,409,187,4928,549,4379,3,86,1523,14,8305,528,-1,11251,-1,7,-1,1358,3444,4,0,0,44,369,62,1652,41,1,935,97,43,0,1,49,59,1278,11,1005,82,923,0,41,321,3,1395,71,-1,3479,-1,0,-1,417,1756
Boston,295951,321643,1800,293,27,4,50,528,1919,455,1220,67,2,1507,23,80,1,251,294,329,86,131,2443,1625,818,4,1,187,8,-1,581,-1,716,-1,-1,-1,2524,1744,2,0,0,51,555,53,526,13,0,337,19,39,2,39,47,13,162,12,408,228,180,0,0,55,1,-1,118,-1,94,-1,-1,-1,608,592
Houston,1053517,1045934,4390,656,82,9,167,958,1323,1186,5885,15,19,7168,420,1442,2,-1,912,1424,586,442,12223,-1,12223,73,78,5363,2015,10782,3279,238,18891,-1,548,-1,2530,7105,11,6,0,100,435,108,3842,0,6,1752,224,310,11,-1,329,55,2193,38,2279,-1,2279,2,3,1188,336,1824,1154,19,6097,-1,229,-1,546,3956
Las Vegas Metro,294100,289656,2214,219,56,10,112,920,2037,927,4160,260,7,6750,370,606,151,694,989,849,556,818,8100,1751,6349,8,104,5564,3184,1,779,1285,21119,-1,726,-1,3125,5354,15,2,0,198,822,192,2811,61,0,3248,238,269,138,150,147,101,2957,81,1740,271,1469,3,157,1899,650,0,159,364,8008,-1,324,-1,1035,3064
