Names,mpop,fpop,memp,femp,mmurder,fmurder,mman,fman,mforcerape,fforcerape,mrob,frob,magassualt,fagassualt,mburglary,fburglary,mlartheft,flartheft,marson,farson,motherassualts,fotherassualts,mforge,fforge,mfraud,ffraud,membezzle,fembezzle,mstolenproperty,fstolenproperty,mvandalism,fvandalism,mweaponcarry,fweaponcarry,mprositute,fprositute,msexoffense,fsexoffense,mdrugabuse,fdrugabuse,msalemanufacture,fsalemanufacture,mpossession,fpossession,mgambling,fgambling,mfamilyoffense,ffamilyoffense,mDUI,fDUI,mliquiorlaws,fliquiorlaws,mdurnk,fdurnk,mdisorderconduct,fdisorderconduct,mvangrancy,fvangrancy,malloffense,falloffense,msuspicion,fsuspicion,mcurfewloiter,fbreakcurfew,mrunaway,frunaway,mviolentcrime,fviolentcrime,mpropertycrimeindex,fpropertycrimeindex
San Francisco ,"408,462","396,773"," 1,793.0 ", 321.0 ,2,73,-1,-1,0,58,112,1030,541,3341,254,1311,563,1624,6,61,548,2839,30,139,28,150,6,9,65,477,97,780,10,233,224,504,10,242,575,3827,325,1948,250,1891,0,6,-19,-21,230,1777,28,177,694,4573,42,180,42,285,2426,18426,-19,-21,-19,-21,1,0,655,4502,890,3387
Northampton,"12,312","16,237", 56.0 , 8.0 ,3,2,2,-1,1,0,13,0,71,16,67,12,225,120,3,1,193,73,5,5,6,2,-1,-1,33,3,46,7,7,1,-1,-1,32,2,287,65,42,9,245,56,-1,-1,7,14,145,61,221,97,418,52,23,12,-1,-1,746,223,-1,-1,10,9,-1,-1,88,18,309,151
Baltimore,"292,249","328,712"," 2,072.0 ", 383.0 ,73,6,-1,-1,105,0,733,114,841,289,"1,309",230,"1,092",447,57,18,"5,156","1,974",91,33,23,29,-1,-1,-1,-1,417,158,961,110,154,598,118,19,"15,119","2,292","4,423",479,"10,696","1,813",130,5,56,36,86,18,46,13,-1,-1,967,400,64,3,"12,718","2,783",-1,-1,153,20,-1,-1,"1,752",409,"3,018",780
Bloomington,40161,43162, 100.0 , 55.0 ,3,2,2,0,1,0,13,0,71,16,67,12,225,120,3,1,193,73,5,5,6,2,-1,-1,33,3,46,7,7,1,-1,-1,32,2,287,65,42,9,245,56,-1,-1,7,14,145,61,221,97,418,52,23,12,-1,-1,746,223,-1,-1,10,9,-1,-1,88,18,309,151
Detroit,"337,679","376,098"," 2,241.0 ", 829.0 ,29,4,-1,-1,45,0,498,52,"1,176",560,855,66,427,81,34,4,"1,711",398,40,13,89,46,1,5,187,21,190,58,"1,384",68,3,3,53,0,"2,719",193,589,47,"2,127",146,2,0,12,5,627,188,2,0,3,1,510,289,27,6,"2,331",326,-1,-1,27,9,-1,-1,"1,748",616,"1,814",223
Philadelphia,"719,813","806,193"," 4,998.0 "," 1,666.0 ",242,16,12,0,318,0,"2,671",428,"3,313","1,494","1,587",182,"4,522","2,651",63,29,"3,925","1,083",98,28,414,209,99,80,55,12,432,90,"1,338",187,285,970,502,15,"15,751","2,143","7,542",847,"8,209","1,296",88,16,16,34,"3,863",828,492,126,299,43,"3,222","1,043",389,35,"13,100","2,367",-1,-1,"11,710","3,069",-1,-1,"6,544","1,938","7,016","2,980"
Chicago,"1,308,072","1,387,526"," 10,368.0 "," 3,097.0 ",285,26,12,3,373,0,"2,216",181,"2,666",584,"2,033",104,"9,111","3,524",32,9,"13,105","4,009",95,57,145,40,1,0,7,6,"2,703",568,"3,750",170,478,"1,634",517,24,"31,901","3,197",-1,-1,-1,-1,"2,449",17,93,125,"3,075",515,370,28,-1,-1,"9,156","1,017",-1,-1,"12,432","1,574",-1,-1,-1,-1,-1,-1,"5,540",791,"13,234","3,960"
Los Angeles,"1,889,064","1,903,557"," 7,584.0 "," 1,779.0 ",145,29,8,5,198,1,"2,016",332,"6,879","1,771","2,087",432,"4,592","3,299",38,10,"3,348",989,470,131,292,105,43,39,601,96,"1,691",247,"2,251",178,"1,799","2,480","1,145",109,"9,414","2,170","2,295",372,"7,119","1,798",222,20,0,4,"6,447","1,479","3,791",947,6,1,141,39,168,62,"30,499","5,159",-1,-1,"1,283",497,-1,-1,"9,238","2,133","7,422","3,992"
Memphis,"307,019","339,870"," 1,646.0 ", 386.0 ,59,5,5,1,101,2,672,59,"1,181",458,"1,339",105,"2,824","2,147",38,10,"4,592","2,238",195,98,243,101,39,36,132,35,417,158,925,73,498,401,140,9,"5,422",749,"1,668",252,"3,725",491,120,2,5,3,"1,008",229,"1,538",231,"1,300",248,"3,638","1,341",4,2,"9,964","2,706",-1,-1,274,145,-1,-1,"2,013",524,"4,404","2,313"
New York City,"3,883,188","4,291,945"," 30,031.0 "," 6,151.0 ",574,47,12,3,919,11,"11,231","1,223","15,374","4,197","4,628",453,"15,151","7,644",141,29,"23,107","6,126","6,938",670,"18,538","3,758",240,193,"2,358",298,"7,614","1,029","8,658","1,169","3,225","5,151","5,287",138,"100,696","15,748","27,000","4,117","73,696","11,631","4,861",724,35,28,"4,135",243,"140,927","16,040",-1,-1,"47,057","10,369","3,280","2,895","299,713","32,553",-1,-1,-1,-1,-1,-1,"28,098","5,478","23,097","8,439"
Dallas,"598,962","598,854"," 2,573.0 ", 527.0 ,7,4,10,0,92,0,337,44,922,369,669,62,"2,562","1,652",1,1,"3,592",935,228,97,118,43,1,0,16,1,181,49,761,59,409,"1,278",187,11,"4,928","1,005",549,82,"4,379",923,3,0,86,41,"1,523",321,14,3,"8,305","1,395",528,71,-1,-1,"11,251","3,479",-1,-1,7,0,-1,-1,"1,358",417,"3,444","1,756"
Boston,"295,951","321,643"," 1,800.0 ", 293.0 ,27,2,4,0,50,0,528,51,"1,919",555,455,53,"1,220",526,2,0,"1,507",337,23,19,80,39,1,2,251,39,294,47,329,13,86,162,131,12,"2,443",408,"1,625",228,818,180,4,0,1,0,187,55,8,1,-1,-1,581,118,-1,-1,716,94,-1,-1,-1,-1,-1,-1,"2,524",608,"1,744",592
Houston,"1,053,517","1,045,934"," 4,390.0 ", 656.0 ,82,11,9,6,167,0,958,100,"1,323",435,"1,186",108,"5,885","3,842",19,6,"7,168","1,752",420,224,"1,442",310,2,11,-1,-1,912,329,"1,424",55,586,"2,193",442,38,"12,223","2,279",-1,-1,"12,223","2,279",73,2,78,3,"5,363","1,188","2,015",336,"10,782","1,824","3,279","1,154",238,19,"18,891","6,097",-1,-1,548,229,-1,-1,"2,530",546,"7,105","3,956"
Las Vegas Metro,"294,100","289,656"," 2,214.0 ", 219.0 ,56,15,10,2,112,0,920,198,"2,037",822,927,192,"4,160","2,811",7,0,"6,750","3,248",370,238,606,269,151,138,694,150,989,147,849,101,556,"2,957",818,81,"8,100","1,740","1,751",271,"6,349","1,469",8,3,104,157,"5,564","1,899","3,184",650,1,0,779,159,"1,285",364,"21,119","8,008",-1,-1,726,324,-1,-1,"3,125","1,035","5,354","3,064"
