Names,mpop,fpop,memp,femp,mmurder,fmurder,mman,fman,mforcerape,fforcerape,mrob,frob,magassualt,fagassualt,mburglary,fburglary,mlartheft,flartheft,marson,farson,motherassualts,fotherassualts,mforge,fforge,mfraud,ffraud,membezzle,fembezzle,mstolenproperty,fstolenproperty,mvandalism,fvandalism,mweaponcarry,fweaponcarry,mprositute,fprositute,msexoffense,fsexoffense,mdrugabuse,fdrugabuse,msalemanufacture,fsalemanufacture,mpossession,fpossession,mgambling,fgambling,mfamilyoffense,ffamilyoffense,mDUI,fDUI,mliquiorlaws,fliquiorlaws,mdurnk,fdurnk,mdisorderconduct,fdisorderconduct,mvangrancy,fvangrancy,malloffense,falloffense,msuspicion,fsuspicion,mcurfewloiter,fbreakcurfew,mrunaway,frunaway,mviolentcrime,fviolentcrime,mpropertycrimeindex,fpropertycrimeindex
San Francisco ,408462,396773,1793,321,24,73,2,-1,19,58,338,1030,1107,3341,254,1311,563,1624,6,61,548,2839,30,139,28,150,6,9,65,477,97,780,10,233,224,504,10,242,575,3827,325,1948,250,1891,0,6,-19,-21,230,1777,28,177,694,4573,42,180,42,285,2426,18426,-19,-21,-19,-21,1,0,655,4502,890,3387
Northampton,12312,16237,56,8,-1,2,-1,-1,-1,0,5,0,27,16,67,12,225,120,3,1,193,73,5,5,6,2,-1,-1,33,3,46,7,7,1,-1,-1,32,2,287,65,42,9,245,56,-1,-1,7,14,145,61,221,97,418,52,23,12,-1,-1,746,223,-1,-1,10,9,-1,-1,88,18,309,151
Baltimore,292249,328712,2072,383,73,6,-1,-1,105,0,733,114,841,289,1309,230,1092,447,57,18,5156,1974,91,33,23,29,-1,-1,-1,-1,417,158,961,110,154,598,118,19,15119,2292,4423,479,10696,1813,130,5,56,36,86,18,46,13,-1,-1,967,400,64,3,12718,2783,-1,-1,153,20,-1,-1,1752,409,3018,780
Bloomington,40161,43162,100,55,3,2,2,0,1,0,13,0,71,16,67,12,225,120,3,1,193,73,5,5,6,2,-1,-1,33,3,46,7,7,1,-1,-1,32,2,287,65,42,9,245,56,-1,-1,7,14,145,61,221,97,418,52,23,12,-1,-1,746,223,-1,-1,10,9,-1,-1,88,18,309,151
Detroit,337679,376098,2241,829,29,4,-1,-1,45,0,498,52,1176,560,855,66,427,81,34,4,1711,398,40,13,89,46,1,5,187,21,190,58,1384,68,3,3,53,0,2719,193,589,47,2127,146,2,0,12,5,627,188,2,0,3,1,510,289,27,6,2331,326,-1,-1,27,9,-1,-1,1748,616,1814,223
Philadelphia,719813,806193,4998,1666,242,16,12,0,318,0,2671,428,3313,1494,1587,182,4522,2651,63,29,3925,1083,98,28,414,209,99,80,55,12,432,90,1338,187,285,970,502,15,15751,2143,7542,847,8209,1296,88,16,16,34,3863,828,492,126,299,43,3222,1043,389,35,13100,2367,-1,-1,11710,3069,-1,-1,6544,1938,7016,2980
Chicago,1308072,1387526,10368,3097,285,26,12,3,373,0,2216,181,2666,584,2033,104,9111,3524,32,9,13105,4009,95,57,145,40,1,0,7,6,2703,568,3750,170,478,1634,517,24,31901,3197,-1,-1,-1,-1,2449,17,93,125,3075,515,370,28,-1,-1,9156,1017,-1,-1,12432,1574,-1,-1,-1,-1,-1,-1,5540,791,13234,3960
Los Angeles,1889064,1903557,7584,1779,145,29,8,5,198,1,2016,332,6879,1771,2087,432,4592,3299,38,10,3348,989,470,131,292,105,43,39,601,96,1691,247,2251,178,1799,2480,1145,109,9414,2170,2295,372,7119,1798,222,20,0,4,6447,1479,3791,947,6,1,141,39,168,62,30499,5159,-1,-1,1283,497,-1,-1,9238,2133,7422,3992
Memphis,307019,339870,1646,386,59,5,5,1,101,2,672,59,1181,458,1339,105,2824,2147,38,10,4592,2238,195,98,243,101,39,36,132,35,417,158,925,73,498,401,140,9,5422,749,1668,252,3725,491,120,2,5,3,1008,229,1538,231,1300,248,3638,1341,4,2,9964,2706,-1,-1,274,145,-1,-1,2013,524,4404,2313
New York City,3883188,4291945,30031,6151,574,47,12,3,919,11,11231,1223,15374,4197,4628,453,15151,7644,141,29,23107,6126,6938,670,18538,3758,240,193,2358,298,7614,1029,8658,1169,3225,5151,5287,138,100696,15748,27000,4117,73696,11631,4861,724,35,28,4135,243,140927,16040,-1,-1,47057,10369,3280,2895,299713,32553,-1,-1,-1,-1,-1,-1,28098,5478,23097,8439
